ZipCode,RegionID,ZipCode,City,State,Metro,CountyName,SizeRank
43228,76595,43228,Columbus,OH,Columbus,Franklin County,275
11223,62034,11223,New York,NY,New York-Newark-Jersey City,Kings County,276
43701,76796,43701,Zanesville,OH,Zanesville,Muskingum County,277
30004,70791,30004,Milton,GA,Atlanta-Sandy Springs-Roswell,Fulton County,278
44077,76983,44077,Painesville,OH,Cleveland-Elyria,Lake County,279
90027,96008,90027,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,280
55901,82474,55901,Rochester,MN,Rochester,Olmsted County,281
94544,97751,94544,Hayward,CA,San Francisco-Oakland-Hayward,Alameda County,283
60616,84618,60616,Chicago,IL,Chicago-Naperville-Elgin,Cook County,284
93727,97435,93727,Fresno,CA,Fresno,Fresno County,285
97402,99252,97402,Eugene,OR,Eugene,Lane County,286
33313,72532,33313,Lauderhill,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,287
35242,73409,35242,Hoover,AL,Birmingham-Hoover,Jefferson County,289
27703,69487,27703,Durham,NC,Durham-Chapel Hill,Durham County,290
27713,69497,27713,Durham,NC,Durham-Chapel Hill,Durham County,291
77082,91731,77082,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,292
29730,70696,29730,Rock Hill,SC,Charlotte-Concord-Gastonia,York County,293
71913,89249,71913,Hot Springs,AR,Hot Springs,Garland County,294
23223,67598,23223,Richmond,VA,Richmond,Richmond City,295
80525,93449,80525,Fort Collins,CO,Fort Collins,Larimer County,296
29464,70496,29464,Mount Pleasant,SC,Charleston-North Charleston,Charleston County,297
19124,65791,19124,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,298
30127,70904,30127,Powder Springs,GA,Atlanta-Sandy Springs-Roswell,Cobb County,299
27284,69275,27284,Kernersville,NC,Winston-Salem,Forsyth County,300
98682,99961,98682,Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,301
95051,97952,95051,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,302
98115,99575,98115,Seattle,WA,Seattle-Tacoma-Bellevue,King County,303
80015,93205,80015,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,304
90731,96221,90731,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,305
77840,92120,77840,College Station,TX,College Station-Bryan,Brazos County,306
37064,74145,37064,Franklin,TN,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,307
91335,96364,91335,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,308
42101,76231,42101,Bowling Green,KY,Bowling Green,Warren County,309
75150,90727,75150,Mesquite,TX,Dallas-Fort Worth-Arlington,Dallas County,310
32225,71878,32225,Jacksonville,FL,Jacksonville,Duval County,311
60622,84624,60622,Chicago,IL,Chicago-Naperville-Elgin,Cook County,312
32828,72252,32828,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,313
95687,98378,95687,Vacaville,CA,Vallejo-Fairfield,Solano County,314
77007,91656,77007,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,315
23452,67720,23452,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,316
85142,417444,85142,Queen Creek,AZ,Phoenix-Mesa-Scottsdale,Pinal County,317
94568,97774,94568,Dublin,CA,San Francisco-Oakland-Hayward,Alameda County,318
43068,76501,43068,Reynoldsburg,OH,Columbus,Franklin County,319
89031,95770,89031,North Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,320
85251,94843,85251,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,321
40601,75755,40601,Frankfort,KY,Frankfort,Franklin County,322
07087,60594,07087,Union City,NJ,New York-Newark-Jersey City,Hudson County,323
93550,97328,93550,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,324
73160,89982,73160,Moore,OK,Oklahoma City,Cleveland County,325
33319,72538,33319,Lauderhill,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,326
21215,66825,21215,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,327
30135,70909,30135,Douglasville,GA,Atlanta-Sandy Springs-Roswell,Douglas County,328
93536,97319,93536,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,329
63123,85941,63123,Affton,MO,St. Louis,Saint Louis County,330
11208,62019,11208,New York,NY,New York-Newark-Jersey City,Kings County,331
78501,92474,78501,McAllen,TX,McAllen-Edinburg-Mission,Hidalgo County,332
95035,97940,95035,Milpitas,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,333
94509,97717,94509,Antioch,CA,San Francisco-Oakland-Hayward,Contra Costa County,334
60615,84617,60615,Chicago,IL,Chicago-Naperville-Elgin,Cook County,335
92630,96962,92630,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange County,336
93306,97222,93306,Bakersfield,CA,Bakersfield,Kern County,337
23451,67719,23451,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,338
78249,92345,78249,San Antonio,TX,San Antonio-New Braunfels,Bexar County,339
14221,63478,14221,Amherst,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,340
19446,65933,19446,Lansdale,PA,Philadelphia-Camden-Wilmington,Montgomery County,341
77057,91706,77057,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,342
93535,97318,93535,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,343
21122,66787,21122,Pasadena,MD,Baltimore-Columbia-Towson,Anne Arundel County,344
95758,98413,95758,Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,345
76116,91261,76116,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,347
89123,95819,89123,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,348
14580,63615,14580,Webster,NY,Rochester,Monroe County,349
98122,99581,98122,Seattle,WA,Seattle-Tacoma-Bellevue,King County,350
66061,87073,66061,Olathe,KS,Kansas City,Johnson County,351
30253,70984,30253,McDonough,GA,Atlanta-Sandy Springs-Roswell,Henry County,352
