,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,stadium_team,StadiumCapacity,grad_conf,FSR,GSR,Pct
96,South Carolina,SEC,Will Muschamp,4200000.0,4200000.0,1400000.0,100000.0,0,18650000.0,South Carolina,80250,Southeastern Conference,63.0,93.0,0.5384615384615384
97,South Florida,AAC,Charlie Strong,1000000.0,1000000.0,815000.0,70000.0,0,192308.0,USF,65857,American Athletic Conference,72.0,76.0,0.5384615384615384
98,Southern California,Pac-12,Clay Helton,2625965.0,2625965.0,0.0,0.0,0,0.0,Southern California,77500,Pac-12 Conference,60.0,76.0,0.4166666666666667
100,Southern Mississippi,C-USA,Jay Hopson,500000.0,500000.0,870000.0,15000.0,0,1583333.0,Southern Miss,36000,Conference USA,61.0,75.0,0.5454545454545454
101,Stanford,Pac-12,David Shaw,4311543.0,4311543.0,0.0,0.0,0,0.0,Stanford,50424,Pac-12 Conference,88.0,95.0,0.6923076923076923
102,Syracuse,ACC,Dino Babers,2401206.0,2401206.0,0.0,0.0,0,0.0,Syracuse,49250,Atlantic Coast Conference,70.0,85.0,0.7692307692307693
103,Tennessee,SEC,Jeremy Pruitt,3846000.0,3846000.0,1200000.0,0.0,0,11780000.0,Tennessee,102455,Southeastern Conference,59.0,74.0,0.4166666666666667
104,Texas,Big 12,Tom Herman,5500000.0,5500000.0,725000.0,75000.0,0,15416667.0,Texas,100119,Big 12 Conference,67.0,78.0,0.7142857142857143
105,Texas A&M,SEC,Jimbo Fisher,7500000.0,7500000.0,1350000.0,0.0,0,68125000.0,Texas A&M,102733,Southeastern Conference,60.0,71.0,0.6923076923076923
106,Texas Christian,Big 12,Gary Patterson,4840717.0,4840717.0,0.0,0.0,0,0.0,TCU,45000,Big 12 Conference,58.0,70.0,0.5384615384615384
107,Texas State,Sun Belt,Everett Withers,700000.0,700000.0,70833.0,0.0,0,773958.0,Texas State,30000,Sun Belt Conference,63.0,71.0,0.25
108,Texas Tech,Big 12,Kliff Kingsbury,3703975.0,3703975.0,1500000.0,25000.0,0,4231250.0,Texas Tech,60862,Big 12 Conference,65.0,76.0,0.4166666666666667
109,Texas-El Paso,C-USA,Dana Dimel,700000.0,700000.0,741665.0,0.0,0,2991667.0,UTEP,51500,Conference USA,51.0,79.0,0.08333333333333333
110,Texas-San Antonio,C-USA,Frank Wilson,1100000.0,1100000.0,185000.0,17500.0,0,3562500.0,UTSA,65000,Conference USA,63.0,80.0,0.25
111,Toledo,MAC,Jason Candle,1125000.0,1125000.0,585000.0,210000.0,0,3558333.0,Toledo,26248,Mid-American Conference,69.0,79.0,0.5384615384615384
112,Troy,Sun Belt,Neal Brown,810000.0,810000.0,490000.0,100000.0,0,2911667.0,Troy,30402,Sun Belt Conference,57.0,73.0,0.7692307692307693
113,Tulane,AAC,Willie Fritz,1629000.0,1629000.0,0.0,0.0,0,0.0,Tulane,30000,American Athletic Conference,69.0,88.0,0.5384615384615384
114,Tulsa,AAC,Philip Montgomery,1518177.0,1518177.0,0.0,0.0,0,0.0,Tulsa,30000,American Athletic Conference,75.0,77.0,0.25
115,UCLA,Pac-12,Chip Kelly,3300000.0,3300000.0,1085000.0,0.0,0,9000000.0,UCLA,90888,Pac-12 Conference,66.0,84.0,0.25
116,Utah,Pac-12,Kyle Whittingham,3787917.0,3787917.0,935000.0,279167.0,0,9250000.0,Utah,47825,Pac-12 Conference,67.0,95.0,0.6428571428571429
117,Utah State,Mt. West,Matt Wells,900000.0,900000.0,765000.0,65000.0,0,2122917.0,Utah State,25513,Mountain West Conference,63.0,92.0,0.8461538461538461
118,Vanderbilt,SEC,Derek Mason,2812523.0,2812523.0,0.0,0.0,0,0.0,Vanderbilt,40350,Southeastern Conference,84.0,95.0,0.46153846153846156
119,Virginia,ACC,Bronco Mendenhall,3550000.0,3550000.0,2165000.0,75000.0,0,18193750.0,Virginia,61500,Atlantic Coast Conference,72.0,85.0,0.6153846153846154
120,Virginia Tech,ACC,Justin Fuente,4000000.0,4000000.0,435000.0,75000.0,0,15000000.0,Virginia Tech,66233,Atlantic Coast Conference,74.0,90.0,0.46153846153846156
121,Wake Forest,ACC,Dave Clawson,1831580.0,1831580.0,0.0,0.0,0,0.0,Wake Forest,31500,Atlantic Coast Conference,74.0,89.0,0.5384615384615384
122,Washington,Pac-12,Chris Petersen,4375000.0,4377500.0,1050000.0,300000.0,0,26354166.0,Washington,70500,Pac-12 Conference,66.0,84.0,0.7142857142857143
123,Washington State,Pac-12,Mike Leach,3500000.0,3500000.0,725000.0,75000.0,0,4900000.0,Washington State,32248,Pac-12 Conference,56.0,75.0,0.8461538461538461
124,West Virginia,Big 12,Dana Holgorsen,3605000.0,3617500.0,1000000.0,90000.0,0,7150000.0,West Virginia,60000,Big 12 Conference,60.0,65.0,0.6666666666666666
125,Western Kentucky,C-USA,Mike Sanford Jr.,800000.0,805850.0,400000.0,0.0,0,1200000.0,Western Kentucky,22113,Conference USA,55.0,74.0,0.25
126,Western Michigan,MAC,Tim Lester,800000.0,800000.0,346500.0,39250.0,0,800000.0,Western Michigan,30200,Mid-American Conference,54.0,75.0,0.5384615384615384
127,Wisconsin,Big Ten,Paul Chryst,3750000.0,3750000.0,0.0,290000.0,0,6000000.0,Wisconsin,80321,Big Ten Conference,72.0,86.0,0.6153846153846154
128,Wyoming,Mt. West,Craig Bohl,1412000.0,1412000.0,450000.0,236000.0,0,8016667.0,Wyoming,29181,Mountain West Conference,47.0,78.0,0.5
